Company,Primary Sector,Tags,Short Description,Country,Region,Date,Quarter,Amount ($),Investment Type,TPIC,Corp Investor?,Investor 1,Investor 2,Investor 3,Investor 4,Investor 5,Investor 6,Investor 7,Investor 8,Investor 9,Investor 10,Investor 11,Investor 12,Investor 13
2DHeat,Energy Efficiency,"Commercial Buildings,Efficient Heating & Cooling,Energy Efficiency,Smart Buildings",Research and development company commercialising 'flat' electric heating elements,United Kingdom,Europe & Israel,2014/10/13,4Q14,"$463,000",Growth Equity,"$463,000",No,350 Investment Partners,,,,,,,,,,,,
Uber,Transportation,"Cleanweb,Software,Taxi/Private Car Service,Transportation","Provider of an integrated, mobile-based car booking and payment system",United States,North America,2014/06/06,2Q14,"$1,200,000,000",Growth Equity,"$3,307,450,000",Yes,BlackRock,Fidelity Investments,Summit Partners,Kleiner Perkins Caufield & Byers (KPCB),Menlo Ventures,Google Ventures,Wellington Asset Management,,,,,,
Xiaoju Technology,Transportation,"Cleanweb,Software,Taxi/Private Car Service,Transportation",Developer of a web-based taxi reservation app (Didi Dache) in China,China,Asia Pacific,2014/04/15,2Q14,"$700,000,000",Growth Equity,"$818,000,000",Yes,Tencent Technology,DST Global,Temasek Holdings,,,,,,,,,,
4 Animals AlsterScience,Agriculture & Food,"Agriculture & Food,Animal Feed & Supplements,Animal Health,Immune Protection,Industrial Biotech,Livestock",Developer of biologic drugs and feed supplements for animals,Germany,Europe & Israel,2014/10/10,4Q14,,Seed,,No,Innovationsstarter Fonds,High-Tech Gründerfonds Management,,,,,,,,,,,
Airbnb,Other Cleantech,"Cleanweb,Global Cleantech 100 (2013),Other Cleantech,Software","Developer of online marketplace that allows people to list and book private accommodations, improving resource utilization and decreasing idle capacity and urban sprawl",United States,North America,2014/04/18,2Q14,"$475,000,000",Growth Equity,"$801,440,696",Yes,Dragoneer Investment Group,T. Rowe Price,TPG Growth,Sequoia Capital,,,,,,,,,
A2B Bikeshare,Transportation,"Cleanweb,Software,Transportation",Developer of an online bike-sharing platform,United States,North America,2014/10/28,4Q14,"$25,000",Seed,"$30,000",No,Michigan Pre-Seed Capital Fund,,,,,,,,,,,,
Lyft,Transportation,"Cleanweb,Passenger Car,Services,Software,Taxi/Private Car Service,Transportation",Provider of on-demand ride services,United States,North America,2014/03/28,1Q14,"$250,000,000",Growth Equity,"$332,200,000",Yes,Coatue Management,Third Point,Alibaba,Andreessen Horowitz,Founders Fund,Mayfield Fund,,,,,,,
Adapt-N,Agriculture & Food,"Agriculture & Food,Agriculture Software,Crops,Software","Developer of an online software that optimizes nitrogen inputs for grain, silage or sweet corn",United States,North America,2014/10/06,4Q14,"$2,200,000",Series A,"$2,200,000",No,Arthur Ventures,Armory Square Ventures,Cayuga Venture Fund,,,,,,,,,,
Sunrun,Solar,"Cleanweb,Downstream PV,Financing,Global Cleantech 100 (2010),Global Cleantech 100 (2011),Global Cleantech 100 (2013),Global Cleantech 100 (2014),Photovoltaics (PV),Project Development,Residential Scale,Rooftop PV,Solar",Developer of solar systems that engage customers through PPAs to eliminate the cost barrier to residential solar adoption,United States,North America,2014/05/16,2Q14,"$150,000,000",Growth Equity,"$313,500,000",No,Foundation Capital,Accel Partners,Sequoia Capital,Madrone Capital Partners,,,,,,,,,
Sunnova,Solar,"Downstream PV,Financing,Photovoltaics (PV),Project Development,Solar,Systems Integration",Provider of solar installation and services,United States,North America,2014/06/11,2Q14,"$145,000,000",Growth Equity,"$505,000,000",No,,,,,,,,,,,,,
